Continent,Country,Male,Female,Both
Africa,Algeria,19.4,34,26.6
Africa,Angola,3.5,10,6.8
Africa,Benin,4.2,12.2,8.2
Africa,Botswana,7,25.5,16.1
Africa,Burkina Faso,2.2,6.8,4.5
Africa,Burundi,1.8,7,4.4
Africa,Cameroon,5.2,13.9,9.5
Africa,Cape Verde,6.3,14.9,10.6
Africa,Central African Republic,3.2,9.3,6.3
Africa,Chad,2.6,7,4.8
Africa,Comoros,3,10.8,6.9
Africa,Congo,4.9,11.8,8.4
Africa,Congo,3.1,8,5.6
Africa,Cote d'Ivoire,5.2,13.1,9
Africa,Djibouti,7.9,16.5,12.2
Africa,Egypt,22,40,31.1
Africa,Equatorial Guinea,3.6,11.4,7.4
Africa,Eritrea,1.8,6.3,4.1
Africa,Ethiopia,1.6,5.6,3.6
Africa,Gabon,8.6,18.2,13.4
Africa,Gambia,4.8,12.4,8.7
Africa,Ghana,4.1,15,9.7
Africa,Guinea,3.3,9.9,6.6
Africa,Guinea-Bissau,4.5,11.8,8.2
Africa,Kenya,2.5,9.4,6
Africa,Lesotho,3.7,22.8,13.5
Africa,Liberia,4.9,12.3,8.6
Africa,Libya,24.5,38.7,31.8
Africa,Madagascar,2.6,6.3,4.5
Africa,Malawi,1.9,7.5,4.7
Africa,Mali,3.9,10.4,7.1
Africa,Mauritania,6,16.6,11.3
Africa,Mauritius,5.9,16.8,11.5
Africa,Morocco,19,31.9,25.6
Africa,Mozambique,2.8,8.9,6
Africa,Namibia,6.5,22.7,15
Africa,Niger,2.3,7.2,4.7
Africa,Nigeria,4.1,11.5,7.8
Africa,Rwanda,1.6,7.7,4.8
Africa,Sao Tome and Principe,6.3,14.8,10.6
Africa,Senegal,3.3,11,7.4
Africa,Seychelles,8.1,21.4,14.6
Africa,Sierra Leone,3.4,11.6,7.5
Africa,Somalia,3.4,10.3,6.9
Africa,South Africa,14.5,38.5,27
Africa,Sudan,3.4,10.7,7.4
Africa,Tanzania,3.4,10.7,7.1
Africa,Togo,3.4,10.7,7.1
Africa,Tunisia,19.3,34.9,27.3
Africa,Uganda,1.5,6.8,4.1
Africa,Zambia,3,10,6.5
Africa,Zimbabwe,3.7,20.5,12.3
Asia,Afghanistan,2.7,6.2,4.5
Asia,Armenia,17.2,24.5,20.9
Asia,Azerbaijan,15.7,23.9,19.9
Asia,Bahrain,24.9,36.1,28.7
Asia,Bangladesh,2.2,4.6,3.4
Asia,Bhutan,4.5,7.4,5.8
Asia,Brunei Darussalam,13,16.4,14.7
Asia,Cambodia,2.5,4.5,3.5
Asia,China,6.2,7.1,6.6
Asia,Cyprus,22.4,22.8,22.6
Asia,Georgia,20,26,23.3
Asia,India,2.7,4.9,3.8
Asia,Indonesia,4.9,9,6.9
Asia,Iran,19.1,31.8,25.5
Asia,Iraq,21,33.8,27.4
Asia,Israel,26.1,27.2,26.7
Asia,Japan,4.6,4.1,4.4
Asia,Jordan,26.6,40.4,33.4
Asia,Kazakhstan,18.8,23.4,21.3
Asia,Kuwait,33,43.9,37
Asia,Kyrgyzstan,13.1,17.5,15.4
Asia,Lao People's Democratic Republic,3.2,5.7,4.5
Asia,Lebanon,27.4,35.3,31.3
Asia,Malaysia,12.9,17.6,15.3
Asia,Maldives,5.4,10.3,7.9
Asia,Mongolia,16.7,22.4,19.6
Asia,Myanmar,4,7.3,5.7
Asia,Nepal,2.5,4.8,3.8
Asia,North Korea,6.4,7.8,7.1
Asia,Oman,19.5,30.8,22.9
Asia,Pakistan,5.5,10.1,7.8
Asia,Philippines,5,7,6
Asia,Qatar,31.9,41.8,33.9
Asia,Russian Federation,19.4,30.8,25.7
Asia,Saudi Arabia,31,41.2,35
Asia,Singapore,6.2,7,6.6
Asia,South Korea,4.6,5.3,4.9
Asia,Sri Lanka,3,7.7,5.4
Asia,Syrian Arab Republic,19.3,32.4,25.8
Asia,Tajikistan,10.4,14.6,12.6
Asia,Thailand,7.5,13.8,10.8
Asia,Timor-Leste,2.1,3.8,2.9
Asia,Turkey,24.2,39.7,32.2
Asia,Turkmenistan,15,19.9,17.5
Asia,United Arab Emirates,26.7,38.8,29.9
Asia,Uzbekistan,12.9,17.7,15.3
Asia,Vietnam,1.6,2.6,2.1
Asia,Yemen,9.9,18.2,14.1
Europe,Albania,21.9,22.8,22.3
Europe,Andorra,27.9,28.1,28
Europe,Armenia,17.2,24.5,20.9
Europe,Austria,23.4,20.6,21.9
Europe,Azerbaijan,15.7,23.9,19.9
Europe,Belarus,23.5,29.1,26.6
Europe,Belgium,25.1,23.9,24.5
Europe,Bosnia and Herzegovina,18.1,20.6,19.4
Europe,Bulgaria,27.5,27.4,27.4
Europe,Croatia,26,28.2,27.1
Europe,Cyprus,22.4,22.8,22.6
Europe,Czech Republic,28.5,28.6,28.5
Europe,Denmark,23.7,18.9,21.3
Europe,Estonia,21.9,25.3,23.8
Europe,Finland,25.7,24.2,24.9
Europe,France,23.5,23,23.2
Europe,Georgia,20,26,23.3
Europe,Germany,26.6,24.9,25.7
Europe,Greece,26,28.7,27.4
Europe,Hungary,29.9,27.5,28.6
Europe,Iceland,25.3,20.9,23.1
Europe,Ireland,26.5,27.3,26.9
Europe,Italy,22.5,23.3,22.9
Europe,Kazakhstan,18.8,23.4,21.3
Europe,Latvia,22.9,28,25.7
Europe,Lithuania,25.3,30.9,28.4
Europe,Luxembourg,26,22.4,24.2
Europe,Macedonia,23.8,23.9,23.9
Europe,Malta,30.9,31.2,31
Europe,Moldova,16.9,23,20.1
Europe,Montenegro,24.5,25.2,24.9
Europe,Netherlands,22.7,23.4,23.1
Europe,Norway,25.1,24.8,25
Europe,Poland,25.4,25.7,25.6
Europe,Portugal,22.1,24.2,23.2
Europe,Romania,24.9,24.2,24.5
Europe,Russian Federation,19.4,30.8,25.7
Europe,Serbia,22.5,24.5,23.5
Europe,Slovakia,22.5,22.3,22.4
Europe,Slovenia,21.4,23.6,22.5
Europe,Spain,27.1,27.2,27.1
Europe,Sweden,24.2,20,22.1
Europe,Switzerland,23.7,18.8,21.2
Europe,Turkey,24.2,39.7,32.2
Europe,Ukraine,23.2,28.4,26.1
Europe,United Kingdom,28.6,30.4,29.5
North America,Antigua and Barbuda,11.7,26.3,19.1
North America,Bahamas,24.8,39,32.1
North America,Barbados,15.6,33.8,24.8
North America,Belize,15.4,29.4,22.4
North America,Canada,31.2,31.5,31.3
North America,Costa Rica,21,30.4,25.7
North America,Cuba,20.4,33,26.7
North America,Dominica,20,36,28.2
North America,Dominican Republic,20.4,33.2,26.9
North America,El Salvador,17.1,27.4,22.7
North America,Grenada,12.6,27.6,20.2
North America,Guatemala,13.1,23.8,18.8
North America,Haiti,16.4,24.3,20.5
North America,Honduras,14.1,24.5,19.4
North America,Jamaica,15,33.2,24.4
North America,Mexico,23.7,32.6,28.4
North America,Nicaragua,16.5,26.8,21.8
North America,Panama,17.6,27.5,22.5
North America,Saint Kitts and Nevis,15.4,30.5,23.1
North America,Saint Lucia,12,27.2,19.8
North America,Saint Vincent and the Grenadines,16.7,31,23.8
North America,Trinidad and Tobago,11.4,27.7,19.7
North America,United States of America,36.5,38.2,37.3
Oceania,Australia,30.7,30.1,30.4
Oceania,Cook Islands,52,58.6,55.3
Oceania,Fiji,24.9,35.3,30
Oceania,Kiribati,41.2,50,45.6
Oceania,Marshall Islands,47.9,56.9,52.4
Oceania,Micronesia,36.1,47.3,41.6
Oceania,Nauru,58.5,63,60.7
Oceania,New Zealand,31,32.9,32
Oceania,Niue,44.2,54.5,49.3
Oceania,Palau,51.3,58.4,54.9
Oceania,Papua New Guinea,15.2,23.7,19.4
Oceania,Samoa,38.2,53.2,45.5
Oceania,Solomon Islands,16.3,24.7,20.5
Oceania,Tonga,39,52.6,45.9
Oceania,Tuvalu,46.4,55.6,51
Oceania,Vanuatu,18.8,28.1,23.5
South America,Argentina,27.4,29.6,28.5
South America,Bolivia,13.4,23.9,18.7
South America,Brazil,18.5,25.9,22.3
South America,Chile,25.5,32.1,28.8
South America,Colombia,17.3,26.7,22.1
South America,Ecuador,14.4,24.1,19.3
South America,Guyana,12.2,26.1,19.2
South America,Paraguay,16.1,21.9,19
South America,Peru,14.7,23.5,19.1
South America,Suriname,19,33.9,26.5
South America,Uruguay,25.3,32.1,28.9
South America,Venezuela,22.1,28.3,25.2
